Date,Open,High,Low,Close,Adj Close,Volume
2021-09-23,820.0,820.0,810.0,810.0,759.2800903320312,7614200
2021-09-24,815.0,825.0,805.0,805.0,754.5931396484375,7760900
2021-09-27,810.0,820.0,805.0,815.0,763.9669799804688,4872900
2021-09-28,825.0,870.0,815.0,860.0,806.1492309570312,17801600
2021-09-29,860.0,890.0,850.0,855.0,801.4622802734375,16042200
2021-09-30,860.0,920.0,860.0,915.0,857.7052612304688,17174900
2021-10-01,925.0,955.0,920.0,920.0,862.3922119140625,19183700
2021-10-04,930.0,990.0,920.0,975.0,913.9482421875,18377500
2021-10-05,975.0,1025.0,975.0,1000.0,937.3828125,20617500
2021-10-06,1025.0,1045.0,1005.0,1025.0,960.8173828125,17571300
2021-10-07,1025.0,1025.0,970.0,970.0,909.2613525390625,15142500
2021-10-08,970.0,1015.0,965.0,1005.0,942.0697021484375,12264900
2021-10-11,1005.0,1055.0,1005.0,1045.0,979.5650634765625,13822100
2021-10-12,1060.0,1060.0,1040.0,1055.0,988.9388427734375,12489800
2021-10-13,1060.0,1110.0,1050.0,1105.0,1035.8079833984375,14435800
2021-10-14,1110.0,1145.0,1085.0,1125.0,1054.5556640625,17328200
2021-10-15,1125.0,1140.0,1110.0,1120.0,1049.8687744140625,9203000
2021-10-18,1120.0,1140.0,1120.0,1140.0,1068.616455078125,8229900
2021-10-19,1140.0,1170.0,1115.0,1135.0,1063.929443359375,11232500
2021-10-21,1145.0,1200.0,1140.0,1200.0,1124.859375,30685900
2021-10-22,1200.0,1210.0,1130.0,1170.0,1096.7379150390625,10934900
2021-10-25,1170.0,1170.0,1130.0,1150.0,1077.990234375,8732700
2021-10-26,1145.0,1175.0,1135.0,1155.0,1082.6771240234375,9278400
2021-10-27,1170.0,1175.0,1080.0,1120.0,1049.8687744140625,8878200
2021-10-28,1115.0,1130.0,1085.0,1120.0,1049.8687744140625,9064000
2021-10-29,1120.0,1140.0,1090.0,1140.0,1068.616455078125,10713200
2021-11-01,1145.0,1170.0,1125.0,1130.0,1059.2425537109375,7252500
2021-11-02,1130.0,1190.0,1130.0,1145.0,1073.3033447265625,11883000
2021-11-03,1150.0,1160.0,1125.0,1145.0,1073.3033447265625,5819700
2021-11-04,1155.0,1170.0,1145.0,1155.0,1082.6771240234375,8414400
2021-11-05,1155.0,1175.0,1150.0,1155.0,1082.6771240234375,9168200
2021-11-08,1155.0,1165.0,1140.0,1145.0,1073.3033447265625,6975400
2021-11-09,1155.0,1165.0,1105.0,1125.0,1054.5556640625,8916500
2021-11-10,1125.0,1125.0,1095.0,1105.0,1035.8079833984375,7155500
2021-11-11,1100.0,1140.0,1100.0,1120.0,1049.8687744140625,7855000
2021-11-12,1150.0,1155.0,1105.0,1125.0,1054.5556640625,10981600
2021-11-15,1125.0,1180.0,1125.0,1180.0,1106.1116943359375,12986200
2021-11-16,1185.0,1200.0,1170.0,1185.0,1110.798583984375,14428800
2021-11-17,1185.0,1230.0,1145.0,1170.0,1096.7379150390625,13804300
2021-11-18,1170.0,1210.0,1155.0,1180.0,1106.1116943359375,10206100
2021-11-19,1190.0,1220.0,1175.0,1200.0,1124.859375,10146200
2021-11-22,1210.0,1255.0,1200.0,1250.0,1171.728515625,14781300
2021-11-23,1245.0,1280.0,1245.0,1280.0,1199.8499755859375,11549400
2021-11-24,1285.0,1300.0,1250.0,1275.0,1195.1630859375,11740300
2021-11-25,1275.0,1310.0,1275.0,1300.0,1218.59765625,9239300
2021-11-26,1300.0,1315.0,1235.0,1240.0,1162.354736328125,15458700
2021-11-29,1245.0,1280.0,1205.0,1260.0,1181.102294921875,17891500
2021-11-30,1260.0,1275.0,1175.0,1175.0,1101.4248046875,40561500
2021-12-01,1165.0,1165.0,1095.0,1095.0,1026.4342041015625,7710100
2021-12-02,1080.0,1080.0,1030.0,1030.0,965.5042724609375,11840100
2021-12-03,1030.0,1050.0,1010.0,1025.0,960.8173828125,8199900
2021-12-06,1025.0,1045.0,1000.0,1030.0,965.5042724609375,9664500
2021-12-07,1025.0,1090.0,1025.0,1080.0,1012.3734130859375,10440000
2021-12-08,1095.0,1100.0,1035.0,1040.0,974.8781127929688,5728600
2021-12-09,1045.0,1045.0,1005.0,1020.0,956.1304931640625,6715200
2021-12-10,1020.0,1030.0,990.0,1000.0,937.3828125,6962100
2021-12-13,1000.0,1020.0,995.0,1005.0,942.0697021484375,10125900
2021-12-14,1015.0,1015.0,965.0,1015.0,951.4435424804688,12430900
2021-12-15,1030.0,1030.0,995.0,995.0,932.6959228515625,7838700
2021-12-16,995.0,1045.0,995.0,1030.0,965.5042724609375,13533700
2021-12-17,1030.0,1075.0,1020.0,1075.0,1007.6865234375,11705500
2021-12-20,1075.0,1085.0,1005.0,1055.0,988.9388427734375,7696400
2021-12-21,1050.0,1055.0,1000.0,1005.0,942.0697021484375,7380100
2021-12-22,1005.0,1010.0,965.0,965.0,904.5744018554688,10994500
2021-12-23,965.0,985.0,950.0,980.0,918.6351318359375,7735300
2021-12-24,990.0,990.0,965.0,965.0,904.5744018554688,8775100
2021-12-27,965.0,975.0,950.0,965.0,904.5744018554688,8155800
2021-12-28,975.0,995.0,955.0,960.0,899.8875122070312,12623000
2021-12-29,960.0,990.0,960.0,990.0,928.0089721679688,7401300
2021-12-30,995.0,995.0,960.0,965.0,904.5744018554688,7462900
2022-01-03,965.0,1000.0,960.0,995.0,932.6959228515625,10346300
2022-01-04,995.0,1015.0,975.0,1000.0,937.3828125,8644900
2022-01-05,1000.0,1005.0,980.0,980.0,918.6351318359375,6255300
2022-01-06,985.0,990.0,965.0,980.0,918.6351318359375,7323100
2022-01-07,990.0,1020.0,980.0,1015.0,951.4435424804688,12037000
2022-01-10,1015.0,1045.0,1000.0,1040.0,974.8781127929688,9470700
2022-01-11,1045.0,1050.0,990.0,1010.0,946.7566528320312,10989200
2022-01-12,1010.0,1020.0,995.0,995.0,932.6959228515625,7629500
2022-01-13,995.0,995.0,975.0,985.0,923.3220825195312,4741900
2022-01-14,970.0,990.0,965.0,980.0,918.6351318359375,9289900
2022-01-17,985.0,985.0,960.0,960.0,899.8875122070312,7692600
2022-01-18,960.0,975.0,945.0,960.0,899.8875122070312,8333400
2022-01-19,960.0,1000.0,950.0,985.0,923.3220825195312,10003900
2022-01-20,985.0,995.0,975.0,975.0,913.9482421875,6463600
2022-01-21,980.0,1000.0,970.0,975.0,913.9482421875,8615000
