,ds,y
0,2017-05-01 00:00:00,27.8
1,2017-05-01 00:05:00,27.0
2,2017-05-01 00:10:00,26.8
3,2017-05-01 00:15:00,26.5
4,2017-05-01 00:20:00,25.6
5,2017-05-01 00:25:00,25.0
6,2017-05-01 00:30:00,24.9
7,2017-05-01 00:35:00,24.1
8,2017-05-01 00:40:00,23.7
9,2017-05-01 00:45:00,23.2
10,2017-05-01 00:50:00,22.6
11,2017-05-01 00:55:00,21.5
12,2017-05-01 01:00:00,20.8
13,2017-05-01 01:05:00,20.1
14,2017-05-01 01:10:00,19.1
15,2017-05-01 01:15:00,17.9
16,2017-05-01 01:20:00,17.5
17,2017-05-01 01:25:00,16.6
18,2017-05-01 01:30:00,16.2
19,2017-05-01 01:35:00,15.5
20,2017-05-01 01:40:00,14.9
21,2017-05-01 01:45:00,14.5
22,2017-05-01 01:50:00,14.2
23,2017-05-01 01:55:00,13.6
24,2017-05-01 02:00:00,13.4
25,2017-05-01 02:05:00,13.0
26,2017-05-01 02:10:00,12.6
27,2017-05-01 02:15:00,12.3
28,2017-05-01 02:20:00,12.0
29,2017-05-01 02:25:00,11.8
30,2017-05-01 02:30:00,11.5
31,2017-05-01 02:35:00,11.2
32,2017-05-01 02:40:00,11.1
33,2017-05-01 02:45:00,10.9
34,2017-05-01 02:50:00,10.6
35,2017-05-01 02:55:00,10.4
36,2017-05-01 03:00:00,10.2
37,2017-05-01 03:05:00,10.0
38,2017-05-01 03:10:00,9.9
39,2017-05-01 03:15:00,9.8
40,2017-05-01 03:20:00,9.6
41,2017-05-01 03:25:00,9.4
42,2017-05-01 03:30:00,9.3
43,2017-05-01 03:35:00,9.1
44,2017-05-01 03:40:00,9.0
45,2017-05-01 03:45:00,9.0
46,2017-05-01 03:50:00,8.9
47,2017-05-01 03:55:00,8.8
48,2017-05-01 04:00:00,8.6
49,2017-05-01 04:05:00,8.5
50,2017-05-01 04:10:00,8.5
51,2017-05-01 04:15:00,8.4
52,2017-05-01 04:20:00,8.3
53,2017-05-01 04:25:00,8.2
54,2017-05-01 04:30:00,8.2
55,2017-05-01 04:35:00,8.1
56,2017-05-01 04:40:00,8.0
